Task, N, Procs, Threads, T_Serial, T_Parallel, T_Total
Task2, 5500000, 4, 4, 0.018758, 0.097871, 0.116725
Task2, 5500000, 4, 8, 0.030844, 0.066342, 0.097360
Task2, 5500000, 8, 1, 0.018101, 0.188341, 0.219183
Task2, 5500000, 8, 2, 0.017827, 0.097445, 0.123057
Task2, 5500000, 8, 4, 0.022699, 0.066610, 0.098168
Task2, 5750000, 1, 1, 0.002301, 0.792605, 0.794993
Task2, 5750000, 1, 2, 0.002801, 0.398394, 0.401296
Task2, 5750000, 1, 4, 0.001975, 0.209418, 0.211438
Task2, 5750000, 1, 8, 0.002200, 0.103385, 0.105633
Task2, 5750000, 2, 1, 0.012536, 0.792723, 0.805361
Task2, 5750000, 2, 2, 0.016474, 0.398098, 0.414730
Task2, 5750000, 2, 4, 0.015611, 0.206418, 0.222223
Task2, 5750000, 2, 8, 0.018247, 0.106004, 0.124391
Task2, 5750000, 4, 1, 0.032528, 0.399598, 0.432518
Task2, 5750000, 4, 2, 0.033994, 0.202144, 0.236500
Task2, 5750000, 4, 4, 0.031938, 0.102984, 0.135191
Task2, 5750000, 4, 8, 0.031086, 0.063649, 0.094953
Task2, 5750000, 8, 1, 0.023778, 0.201010, 0.233615
Task2, 5750000, 8, 2, 0.022763, 0.122398, 0.147719
Task2, 5750000, 8, 4, 0.023009, 0.054214, 0.087104
Task2, 6000000, 1, 1, 0.002645, 0.841845, 0.844574
Task2, 6000000, 1, 2, 0.001774, 0.440333, 0.442174
Task2, 6000000, 1, 4, 0.002746, 0.217527, 0.220361
Task2, 6000000, 1, 8, 0.003026, 0.114294, 0.117376
Task2, 6000000, 2, 1, 0.017814, 0.841019, 0.858974
Task2, 6000000, 2, 2, 0.013900, 0.422185, 0.436228
Task2, 6000000, 2, 4, 0.017329, 0.212791, 0.230218
Task2, 6000000, 2, 8, 0.012727, 0.108059, 0.120858
Task2, 6000000, 4, 1, 0.029344, 0.421039, 0.450796
Task2, 6000000, 4, 2, 0.032256, 0.221044, 0.253579
Task2, 6000000, 4, 4, 0.021127, 0.110917, 0.132240
Task2, 6000000, 4, 8, 0.023728, 0.059664, 0.083563
Task2, 6000000, 8, 1, 0.023273, 0.225786, 0.258437
Task2, 6000000, 8, 2, 0.020374, 0.108129, 0.137585
Task2, 6000000, 8, 4, 0.022598, 0.072713, 0.104241
Task2, 6250000, 1, 1, 0.002716, 0.893426, 0.896226
Task2, 6250000, 1, 2, 0.003052, 0.453108, 0.456252
Task2, 6250000, 1, 4, 0.003710, 0.237210, 0.240988
